sort,obj_id,old_obj,year,query,sender1,sender_id,sender_n,date_sent,date_when,recipient1,recipient_id,recipient_n,place_sent,place_n,untranscribed
1,obj1301,Obj1317,1832,,"Academie de L’industrie agricole, manufacturiere et commerciale",org:org_001,obj1301-on-1,24 Jan 1832,1832-01-24,DBW,ppl:dbw,,,,
2,obj1302,Obj1318,1832,,Josiah Quincy,ppl:jqt,obj1302-s-1,,,DBW,ppl:dbw,,"Cambridge, [Mass]",obj1302-pl-1,
3,obj1303,Obj1319,1832,,Societe Philotechnique de Paris,org:org_102,obj1303-on-3,2 Feb 1832,1832-02-02,DBW,ppl:dbw,,,,
4,obj1304,Obj1320,1832,,D. Vaucel,ppl:dvaucel,obj1304-s-1,23 Feb 1832,1832-02-23,DBW,ppl:dbw,,,,"
                    
                    
                  
                            D. Vaucel, Biographie Contemporains, 23 Feb 1832
                        
               
                    
                        In french [photo]- not yet transcribed
               
                "
5,obj1305,Obj1321,1832,,Vaucel,ppl:dvaucel,obj1305-s-1,28 Feb 1832,1832-02-28,DBW,ppl:dbw,,,,"
                    
                    
                  
                            Vaucel, Biographie Contemporains, 28 Feb 1832
                        
               
                    
                        [photos x2] – not yet transcribed 
               
                "
6,obj1306,Obj1322,1832,,Biddle,ppl:rbidd,obj1306-s-1,29 Feb 1832,1832-02-29,DBW,ppl:dbw,,"28 Chapel Street Grosvenor Place, London",obj1306-pl-2,
7,obj1307,Obj1323,1832,,Dr GM McMahon,ppl:gmmcmahon,obj1307-s-1,23 Mar 1832,1832-03-23,DBW,ppl:dbw,,,,
8,obj1308,Obj1324,1832,,D. Vaucel,ppl:dvaucel,obj1308-s-1,26 Mar 1832,1832-03-26,DBW,ppl:dbw,,,,"
                    
                    
                  
                            D. Vaucel, Biographie Contemporains, 26 Mar 1832
                        
               
                    
                        In French [photo] – not yet transcribed
               
                    DBW note: Schuick, le general Steuben, Phillipe Scheyler, Bouard Shippen
                "
9,obj1309,Obj1325,1832,,Mrs McMahon,ppl:mrsamcmahon,obj1309-s-1,,,DBW,ppl:dbw,,,,
10,obj1310,Obj1326,1832,,D. Vaucel,ppl:dvaucel,obj1310-s-1,4 April 1832,1832-04-04,DBW,ppl:dbw,,,,"
                    
                    
                  
                            D. Vaucel, Biographie Contemporains, 4 April 1832
                        
               
                    
                        In French [photo x2] – not yet transcribed
               
                "
11,obj1311,Obj1327,1832,,Dallas Backe,ppl:adbache,obj1311-s-1,6 April 1832,1832-04-06,DBW,ppl:dbw,,Philadelphia,obj1311-pl-3,
12,obj1312,Obj1328,1832,,"C.J. Ingersoll,",ppl:cji,obj1312-s-1,9 April 1832,1832-04-09,DBW,ppl:dbw,,Philadelphia,obj1312-pl-8,
13,obj1313,Obj1329,1832,,D. Vaucel,ppl:dvaucel,obj1313-s-1,11 April 1832,1832-04-11,DBW,ppl:dbw,,,,"
                    
                    
                  
                            D. Vaucel, Biographie Contemporains, 11 April
                                1832
                        
               
                    
                        In French [photo x2] – not yet transcribed
               
                "
14,obj1314,Obj1330,1832,,James Brown,ppl:jbro,obj1314-s-1,19 Apr 1832,1832-04-19,DBW,ppl:dbw,,Phil,obj1314-pl-10,
15,obj1315,Obj1331,1832,,"George Parkman, S.A.,",ppl:gparkman,obj1315-s-1,1 May 1832,1832-05-01,DBW,ppl:dbw,,Boston,obj1315-pl-12,
16,obj1316,Obj1332,1832,,Dr R L Mussey,ppl:rlmussey,obj1316-s-1,4 May 1832,1832-05-04,DBW,ppl:dbw,,"Brunswick, Maine",obj1316-pl-15,
17,obj1317,Obj1332,1832,,Charles S. Jackson,ppl:csjackson,obj1317-s-1,16 May 1832,1832-05-16,DBW,ppl:dbw,,,,
18,obj1318,Obj1333,1832,,F. C Grey,ppl:fcgray,obj1318-s-1,9 May 1832,1832-05-09,DBW,ppl:dbw,,,,
19,obj1319,Obj1334,1832,,Colonel MacCord,ppl:djmccord,obj1319-s-1,20 May 1832,1832-05-20,DBW,ppl:dbw,,"Columbia, [S.C]",obj1319-pl-19,
20,obj1320,Obj1335,1832,,Dr Hosack,ppl:dhos,obj1320-s-1,26 May 1832,1832-05-26,DBW,ppl:dbw,,Hyde Park,obj1320-pl-20,
21,obj1321,Obj1336,1832,,"Henry Junius Nott,",ppl:hjnott,obj1321-s-1,23 May 1832,1832-05-23,DBW,ppl:dbw,,South Carolina,obj1321-pl-23,
